UniProt	adj.p	disease	sources	SYMBOL	ENTREZID	DGN_hits	DMaps_hits	KEGG_hits	KEGG_pathways	Reactome_hits	Reactome_pathways
P09104	0	ALZ	ADNI,EMIF,VUMC Olink	ENO2	2026	2	0	2	HIF-1 signaling pathway,Glycolysis / Gluconeogenesis	3	Gluconeogenesis,Glucose metabolism,Glycolysis
P05107	0	ALZ	VUMC Olink	ITGB2	3689	0	7	11	Complement and coagulation cascades,Rheumatoid arthritis,Cell adhesion molecules,Leukocyte transendothelial migration,Phagosome,Rap1 signaling pathway,Regulation of actin cytoskeleton,Leishmaniasis,Legionellosis,Natural killer cell mediated cytotoxicity,Pertussis	7	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Signaling by Interleukins,Cell surface interactions at the vascular wall,Neutrophil degranulation,Integrin cell surface interactions,Interleukin-4 and Interleukin-13 signaling,Extracellular matrix organization
P00519	0	ALZ	VUMC Olink	ABL1	25	0	6	2	Neurotrophin signaling pathway,ErbB signaling pathway	0	
O94760	0	ALZ	EMIF,KTH,VUMC Olink	DDAH1	23576	0	0	0		0	
P31431	0	ALZ	VUMC Olink	SDC4	6385	0	0	3	Fluid shear stress and atherosclerosis,Cell adhesion molecules,ECM-receptor interaction	2	Cell surface interactions at the vascular wall,Extracellular matrix organization
P52888	0	ALZ	VUMC Olink	THOP1	7064	0	0	0		0	
P78380	1.10408629414439e-13	ALZ	ADNI,VUMC Olink	OLR1	4973	0	0	3	Lipid and atherosclerosis,Phagosome,PPAR signaling pathway	2	Cell surface interactions at the vascular wall,Neutrophil degranulation
P30086	7.22674665258146e-13	ALZ	EMIF,KTH,VUMC Olink	PEBP1	5037	0	13	0		0	
Q04760	4.35689437612363e-12	ALZ	VUMC Olink	GLO1	2739	0	2	1	Pyruvate metabolism	0	
O95721	1.14272931443944e-10	ALZ	VUMC Olink	SNAP29	9342	1	0	1	SNARE interactions in vesicular transport	1	Neutrophil degranulation
P00441	1.69190183714686e-10	ALZ	ADNI,EMIF,VUMC Olink	SOD1	6647	15	18	1	Pathways of neurodegeneration	3	Signaling by Interleukins,Platelet degranulation ,Response to elevated platelet cytosolic Ca2+
P04179	1.97369226156986e-10	ALZ	EMIF,VUMC Olink	SOD2	6648	16	5	1	Lipid and atherosclerosis	3	Signaling by Interleukins,FOXO-mediated transcription,FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
Q16773	3.45661816539255e-09	ALZ	VUMC Olink	KYAT1	883	0	5	1	Cysteine and methionine metabolism	0	
P41236	7.32110324078352e-09	ALZ	VUMC Olink	PPP1R2	5504	0	0	0		0	
Q9H3U7	1.38013310393864e-08	ALZ	VUMC Olink	SMOC2	64094	0	0	0		0	
O00622	6.19458656192651e-08	ALZ	VUMC Olink	CCN1	3491	0	0	0		0	
Q9UNK0	3.52448265360471e-07	ALZ	VUMC Olink	STX8	9482	0	0	1	SNARE interactions in vesicular transport	0	
Q13867	4.16775034868509e-07	ALZ	VUMC Olink	BLMH	642	0	0	0		0	
P04080	8.53143678008571e-07	ALZ	VUMC Olink	CSTB	1476	4	0	0		1	Neutrophil degranulation
Q9HCB6	1.79984875159643e-06	ALZ	ADNI,EMIF,VUMC Olink	SPON1	10418	0	0	0		0	
P11215	2.02556085054233e-06	ALZ	VUMC Olink	ITGAM	3684	0	8	10	Complement and coagulation cascades,Cell adhesion molecules,Leukocyte transendothelial migration,Hematopoietic cell lineage,Phagosome,Rap1 signaling pathway,Regulation of actin cytoskeleton,Leishmaniasis,Legionellosis,Pertussis	6	Signaling by Interleukins,Cell surface interactions at the vascular wall,Neutrophil degranulation,Integrin cell surface interactions,Interleukin-4 and Interleukin-13 signaling,Extracellular matrix organization
Q03405	2.02556085054233e-06	ALZ	VUMC Olink	PLAUR	5329	0	0	1	Complement and coagulation cascades	2	Dissolution of Fibrin Clot,Neutrophil degranulation
Q9BXY4	2.02556085054233e-06	ALZ	VUMC Olink	RSPO3	84870	0	0	0		0	
P14210	3.10709892138462e-06	ALZ	ADNI,VUMC Olink	HGF	3082	3	0	4	MAPK signaling pathway,Rap1 signaling pathway,PI3K-Akt signaling pathway,Focal adhesion	4	Signaling by Interleukins,Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Interleukin-4 and Interleukin-13 signaling
O75888	8.59093814186816e-06	ALZ	VUMC Olink	TNFSF13	8741	0	0	3	Cytokine-cytokine receptor interaction,Rheumatoid arthritis,Intestinal immune network for IgA production	2	TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors
Q8NHL6	9.96367575010316e-06	ALZ	VUMC Olink	LILRB1	10859	0	0	1	Osteoclast differentiation	1	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
Q9NQ88	1.13279189055885e-05	ALZ	VUMC Olink	TIGAR	57103	0	1	1	Fructose and mannose metabolism	0	
Q9UKK9	1.77872020956068e-05	ALZ	VUMC Olink	NUDT5	11164	0	0	0		0	
P10451	2.90576675774937e-05	ALZ	ADNI,EMIF,VUMC Olink	SPP1	6696	2	0	3	ECM-receptor interaction,PI3K-Akt signaling pathway,Focal adhesion	2	Integrin cell surface interactions,Extracellular matrix organization
O00214	3.1816914170209e-05	ALZ	VUMC Olink	LGALS8	3964	0	0	0		0	
P46109	6.31464606076206e-05	ALZ	VUMC Olink	CRKL	1399	0	0	7	MAPK signaling pathway,Rap1 signaling pathway,Regulation of actin cytoskeleton,Neurotrophin signaling pathway,Chemokine signaling pathway,Focal adhesion,ErbB signaling pathway	1	Signaling by Interleukins
Q9Y6Q6	6.31464606076206e-05	ALZ	VUMC Olink	TNFRSF11A	8792	0	0	4	Cytokine-cytokine receptor interaction,Osteoclast differentiation,Rheumatoid arthritis,NF-kappa B signaling pathway	2	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,TNFR2 non-canonical NF-kB pathway
O14828	7.98254512391908e-05	ALZ	VUMC Olink	SCAMP3	10067	0	0	0		0	
Q9H2A7	8.69861006650156e-05	ALZ	VUMC Olink	CXCL16	58191	0	0	2	Cytokine-cytokine receptor interaction,Chemokine signaling pathway	1	Chemokine receptors bind chemokines
P08069	0.000100093128007915	ALZ	VUMC Olink	IGF1R	3480	3	16	6	HIF-1 signaling pathway,MAPK signaling pathway,Rap1 signaling pathway,Oocyte meiosis,PI3K-Akt signaling pathway,Focal adhesion	0	
O94907	0.000100093128007915	ALZ	VUMC Olink	DKK1	22943	1	5	1	Pathways of neurodegeneration	0	
P35754	0.000100093128007915	ALZ	VUMC Olink	GLRX	2745	0	3	0		0	
Q01151	0.000140784536780675	ALZ	VUMC Olink	CD83	9308	0	0	0		0	
P52564	0.000269848677430273	ALZ	VUMC Olink	MAP2K6	5608	0	8	7	Osteoclast differentiation,Fluid shear stress and atherosclerosis,TNF signaling pathway,Lipid and atherosclerosis,MAPK signaling pathway,Rap1 signaling pathway,Pathways of neurodegeneration	1	Signaling by Interleukins
Q8N1Q1	0.000291361351549776	ALZ	VUMC Olink	CA13	377677	0	0	0		0	
P19438	0.000294388466131446	ALZ	VUMC Olink	TNFRSF1A	7132	2	53	11	Cytokine-cytokine receptor interaction,Osteoclast differentiation,Fluid shear stress and atherosclerosis,NF-kappa B signaling pathway,TNF signaling pathway,Lipid and atherosclerosis,MAPK signaling pathway,Necroptosis,Pathways of neurodegeneration,Adipocytokine signaling pathway,Hepatitis C	4	Signaling by Interleukins,TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors,Interleukin-10 signaling
P13686	0.000379848579130055	ALZ	VUMC Olink	ACP5	54	0	0	2	Osteoclast differentiation,Rheumatoid arthritis	0	
P35237	0.000379848579130055	ALZ	VUMC Olink	SERPINB6	5269	0	0	0		2	Dissolution of Fibrin Clot,Neutrophil degranulation
Q9NP84	0.000379848579130055	ALZ	VUMC Olink	TNFRSF12A	51330	0	0	1	Cytokine-cytokine receptor interaction	2	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,TNFR2 non-canonical NF-kB pathway
Q9Y336	0.000384938885948139	ALZ	VUMC Olink	SIGLEC9	27180	0	0	0		2	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Neutrophil degranulation
Q8NI22	0.000442889979608623	ALZ	VUMC Olink	MCFD2	90411	0	0	0		0	
Q14108	0.000569675877155997	ALZ	VUMC Olink	SCARB2	950	2	6	0		0	
P35443	0.000612406653604875	ALZ	EMIF,VUMC Olink	THBS4	7060	0	0	4	Phagosome,ECM-receptor interaction,PI3K-Akt signaling pathway,Focal adhesion	0	
Q8N608	0.000612406653604875	ALZ	VUMC Olink	DPP10	57628	0	0	0		0	
P15311	0.000810552439344745	ALZ	VUMC Olink	EZR	7430	0	6	2	Leukocyte transendothelial migration,Regulation of actin cytoskeleton	0	
P40925	0.000858639654233956	ALZ	EMIF,KTH	MDH1	4190	0	0	2	Pyruvate metabolism,Cysteine and methionine metabolism	2	Gluconeogenesis,Glucose metabolism
O14798	0.000983104844302443	ALZ	VUMC Olink	TNFRSF10C	8794	0	0	1	Cytokine-cytokine receptor interaction	0	
P09417	0.0012364902278875	ALZ	EMIF,VUMC Olink	QDPR	5860	6	0	0		0	
Q8IXJ6	0.00130748292522279	ALZ	VUMC Olink	SIRT2	22933	0	5	1	Nicotinate and nicotinamide metabolism	0	
Q12805	0.00147215323155491	ALZ	ADNI,EMIF,VUMC Olink	EFEMP1	2202	2	0	0		1	Extracellular matrix organization
Q9NZN5	0.00147215323155491	ALZ	VUMC Olink	ARHGEF12	23365	0	0	1	Regulation of actin cytoskeleton	0	
P42658	0.00155654295129725	ALZ	VUMC Olink	DPP6	1804	2	0	0		0	
P04075	0.00170003286778474	ALZ	ADNI,EMIF	ALDOA	226	0	5	3	HIF-1 signaling pathway,Glycolysis / Gluconeogenesis,Fructose and mannose metabolism	6	Gluconeogenesis,Neutrophil degranulation,Glucose metabolism,Platelet degranulation ,Response to elevated platelet cytosolic Ca2+,Glycolysis
